Título,Rating,Sinopse,Link
Extermínio: A Evolução,"6,6","Um grupos de sobreviventes do vírus da raiva vive em uma ilha. Quando um do grupo deixa a ilha em uma missão ao continente, ele descobre segredos, maravilhas e horrores que transformaram não apenas os infectados, mas outros sobreviventes.",https://imdb.com/pt/title/tt10548174/
Pillion,"6,9","Colin, um homem tímido, conhece Ray, um confiante líder de gangue de motoqueiros, que o inicia em um relacionamento submisso, desafiando a existência mundana de Colin e estimulando o crescimento pessoal por meio de sua dinâmica.",https://imdb.com/pt/title/tt32321317/
Dolly - A Boneca Maldita,"5,6",Uma jovem chamada Macy é sequestrada por uma criatura monstruosa que busca criá-la como se ela fosse sua própria filha.,https://imdb.com/pt/title/tt32639175/
One Mile: Chapter One,"5,6","Depois de ser libertado da prisão, um pai tenta se reconectar com sua filha levando-a em uma excursão universitária, mas eles logo se veem lutando por mais do que seu relacionamento perdido quando um culto assassino os persegue.",https://imdb.com/pt/title/tt24326458/
A Única Saída,"7,6","Depois de ficar desempregado por vários anos, um homem elabora um plano único para conseguir um novo emprego: eliminar sua concorrência.",https://imdb.com/pt/title/tt1527793/
Anaconda,"5,6","Um grupo de amigos que enfrenta a crise da meia-idade se prepara para refazer seu filme juvenil favorito, mas quando entram na selva, as coisas ficam feias.",https://imdb.com/pt/title/tt33244668/
O Senhor dos Anéis: A Sociedade do Anel,"8,9",Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,https://imdb.com/pt/title/tt0120737/
A Substância,"7,2","Uma celebridade em decadência decide usar uma droga do mercado negro, uma substância que replica células e cria temporariamente uma versão mais jovem e melhor de si mesma.",https://imdb.com/pt/title/tt17526714/
Sicario: Terra de Ninguém,"7,7",Um idealista agente do FBI é chamado pelo governo para ajudar as forças na guerra contra as drogas na fronteira entre os Estados Unidos e Mexico.,https://imdb.com/pt/title/tt3397884/
A Odisseia,N/A,"Após a Guerra de Troia, o guerreiro grego Odisseu enfrenta criaturas míticas e deuses em sua épica jornada de volta para casa, onde sua esposa Penélope o aguarda.",https://imdb.com/pt/title/tt33764258/
